AÑO,MES,AREA,ID_PRODUCTO,"Participacion en Absoluta del Periodo","Participacion en Area","Participacion en Producto"
2011,5,Australia,773,0.002223,1.000000,0.057471
2011,5,Canada,707,0.000066,0.000278,0.071427
2011,5,Canada,708,0.000396,0.001668,0.400000
2011,5,Canada,709,0.000134,0.000565,0.176471
2011,5,Canada,711,0.000106,0.000445,0.074766
2011,5,Canada,712,0.000193,0.000814,0.401409
2011,5,Canada,714,0.000302,0.001271,0.320000
2011,5,Canada,715,0.001226,0.005163,0.269710
2011,5,Canada,716,0.000094,0.000397,0.106381
2011,5,Canada,722,0.002101,0.008853,0.900000
2011,5,Canada,725,0.001563,0.006586,0.448275
2011,5,Canada,726,0.001203,0.005066,0.434782
2011,5,Canada,729,0.001082,0.004559,0.321428
2011,5,Canada,730,0.004810,0.020264,0.769231
2011,5,Canada,732,0.003967,0.016710,0.425000
2011,5,Canada,733,0.002333,0.009830,1.000000
2011,5,Canada,738,0.001167,0.004918,0.256411
2011,5,Canada,741,0.002141,0.009019,1.000000
2011,5,Canada,742,0.001890,0.007961,0.800001
2011,5,Canada,743,0.000467,0.001968,1.000000
2011,5,Canada,745,0.000529,0.002230,1.000000
2011,5,Canada,747,0.001869,0.007874,0.666668
2011,5,Canada,749,0.003743,0.015768,0.400000
2011,5,Canada,753,0.008422,0.035478,0.272727
2011,5,Canada,754,0.012010,0.050596,0.185841
2011,5,Canada,755,0.005719,0.024093,0.434782
2011,5,Canada,756,0.005719,0.024093,0.294118
2011,5,Canada,758,0.046896,0.197564,0.418367
2011,5,Canada,760,0.020567,0.086644,0.373134
2011,5,Canada,761,0.002468,0.010397,0.176471
2011,5,Canada,762,0.011243,0.047365,0.191589
2011,5,Canada,763,0.005210,0.021950,0.296875
2011,5,Canada,764,0.003565,0.015018,0.406250
2011,5,Canada,765,0.013437,0.056607,0.445454
2011,5,Canada,766,0.003565,0.015018,0.419355
2011,5,Canada,768,0.002194,0.009242,0.347826
2011,5,Canada,770,0.009324,0.039279,0.400000
2011,5,Canada,773,0.005335,0.022474,0.137931
2011,5,Canada,774,0.001334,0.005618,0.111111
2011,5,Canada,775,0.011915,0.050194,0.112500
2011,5,Canada,776,0.026477,0.111543,0.500000
2011,5,Canada,777,0.005295,0.022309,0.043956
2011,5,Canada,778,0.005295,0.022309,0.054054
2011,5,Central,708,0.000013,0.000616,0.013336
2011,5,Central,709,0.000015,0.000695,0.019608
2011,5,Central,710,0.000037,0.001739,0.909091
2011,5,Central,711,0.000330,0.015393,0.233644
2011,5,Central,712,0.000027,0.001266,0.056336
2011,5,Central,715,0.000189,0.008797,0.041493
2011,5,Central,738,0.000467,0.021789,0.102564
2011,5,Central,754,0.000572,0.026683,0.008850
2011,5,Central,758,0.002288,0.106734,0.020408
2011,5,Central,760,0.001097,0.051178,0.019901
2011,5,Central,761,0.004388,0.204712,0.313725
2011,5,Central,762,0.001097,0.051178,0.018692
2011,5,Central,770,0.000274,0.012795,0.011765
2011,5,Central,773,0.006668,0.311124,0.172414
2011,5,Central,775,0.001324,0.061767,0.012500
2011,5,Central,776,0.001324,0.061767,0.025000
2011,5,Central,778,0.001324,0.061767,0.013513
2011,5,France,773,0.002223,1.000000,0.057471
2011,5,Northeast,707,0.000211,0.007619,0.228569
2011,5,Northeast,708,0.000053,0.001905,0.053336
2011,5,Northeast,711,0.000013,0.000476,0.009347
2011,5,Northeast,712,0.000003,0.000122,0.007047
2011,5,Northeast,715,0.000189,0.006804,0.041493
2011,5,Northeast,725,0.000120,0.004339,0.034483
2011,5,Northeast,729,0.000601,0.021697,0.178571
2011,5,Northeast,738,0.000584,0.021065,0.128205
2011,5,Northeast,753,0.005614,0.202597,0.181818
2011,5,Northeast,754,0.002860,0.103187,0.044248
2011,5,Northeast,758,0.004575,0.165099,0.040816
2011,5,Northeast,760,0.002194,0.079164,0.039801
2011,5,Northeast,761,0.001097,0.039582,0.078432
2011,5,Northeast,762,0.003016,0.108851,0.051402
2011,5,Northeast,763,0.000274,0.009896,0.015625
2011,5,Northeast,765,0.003565,0.128642,0.118182
2011,5,Northeast,768,0.000274,0.009896,0.043478
2011,5,Northeast,770,0.002468,0.089060,0.105882
2011,5,Northwest,707,0.000132,0.000695,0.142861
2011,5,Northwest,708,0.000026,0.000139,0.026664
2011,5,Northwest,709,0.000268,0.001412,0.352941
2011,5,Northwest,711,0.000119,0.000625,0.084113
2011,5,Northwest,712,0.000044,0.000232,0.091544
2011,5,Northwest,714,0.000094,0.000496,0.099998
2011,5,Northwest,715,0.000151,0.000794,0.033195
2011,5,Northwest,716,0.000038,0.000198,0.042553
2011,5,Northwest,732,0.000933,0.004912,0.100000
2011,5,Northwest,747,0.000467,0.002459,0.166666
2011,5,Northwest,753,0.001404,0.007386,0.045455
2011,5,Northwest,755,0.002288,0.012039,0.173913
2011,5,Northwest,756,0.000572,0.003010,0.029412
2011,5,Northwest,758,0.005147,0.027087,0.045918
2011,5,Northwest,762,0.000274,0.001443,0.004673
2011,5,Northwest,763,0.001097,0.005772,0.062500
2011,5,Northwest,764,0.001097,0.005772,0.125000
2011,5,Northwest,768,0.001097,0.005772,0.173913
2011,5,Northwest,770,0.000274,0.001443,0.011765
2011,5,Northwest,771,0.012003,0.063166,0.321429
2011,5,Northwest,772,0.002667,0.014037,0.400000
2011,5,Northwest,773,0.010225,0.053808,0.264368
2011,5,Northwest,774,0.001334,0.007018,0.111111
2011,5,Northwest,775,0.047659,0.250806,0.450000
2011,5,Northwest,776,0.006619,0.034834,0.125000
2011,5,Northwest,777,0.058250,0.306540,0.483516
2011,5,Northwest,778,0.035744,0.188104,0.364865
2011,5,Southeast,707,0.000079,0.000299,0.085715
2011,5,Southeast,708,0.000119,0.000449,0.120000
2011,5,Southeast,709,0.000343,0.001295,0.450980
2011,5,Southeast,710,0.000004,0.000014,0.090909
2011,5,Southeast,711,0.000594,0.002244,0.420561
2011,5,Southeast,712,0.000031,0.000115,0.063383
2011,5,Southeast,714,0.000245,0.000926,0.260002
2011,5,Southeast,715,0.000754,0.002850,0.165976
2011,5,Southeast,716,0.000434,0.001639,0.489362
2011,5,Southeast,725,0.000241,0.000909,0.068966
2011,5,Southeast,729,0.000120,0.000454,0.035715
2011,5,Southeast,730,0.000481,0.001817,0.076923
2011,5,Southeast,732,0.000233,0.000882,0.025000
2011,5,Southeast,738,0.000467,0.001764,0.102564
2011,5,Southeast,742,0.000472,0.001785,0.199999
2011,5,Southeast,747,0.000467,0.001765,0.166666
2011,5,Southeast,748,0.001890,0.007140,1.000000
2011,5,Southeast,753,0.001404,0.005303,0.045455
2011,5,Southeast,754,0.002860,0.010804,0.044248
2011,5,Southeast,756,0.000572,0.002161,0.029412
2011,5,Southeast,758,0.008007,0.030252,0.071429
2011,5,Southeast,760,0.001371,0.005181,0.024876
2011,5,Southeast,761,0.001097,0.004144,0.078432
2011,5,Southeast,762,0.008501,0.032120,0.144860
2011,5,Southeast,763,0.000548,0.002072,0.031250
2011,5,Southeast,764,0.001097,0.004144,0.125000
2011,5,Southeast,765,0.002468,0.009325,0.081818
2011,5,Southeast,768,0.000274,0.001036,0.043478
2011,5,Southeast,770,0.002742,0.010361,0.117647
2011,5,Southeast,771,0.025340,0.095742,0.678571
2011,5,Southeast,772,0.004001,0.015117,0.600000
2011,5,Southeast,773,0.012003,0.045351,0.310345
2011,5,Southeast,774,0.009336,0.035273,0.777778
2011,5,Southeast,775,0.045011,0.170068,0.425000
2011,5,Southeast,776,0.018534,0.070028,0.350000
2011,5,Southeast,777,0.056926,0.215086,0.472528
2011,5,Southeast,778,0.055602,0.210084,0.567567
2011,5,Southwest,707,0.000436,0.001712,0.471427
2011,5,Southwest,708,0.000383,0.001505,0.386664
2011,5,Southwest,711,0.000251,0.000986,0.177569
2011,5,Southwest,712,0.000183,0.000720,0.380282
2011,5,Southwest,714,0.000302,0.001186,0.320000
2011,5,Southwest,715,0.002036,0.008006,0.448133
2011,5,Southwest,716,0.000321,0.001260,0.361704
2011,5,Southwest,722,0.000233,0.000918,0.100000
2011,5,Southwest,725,0.001563,0.006146,0.448275
2011,5,Southwest,726,0.001563,0.006146,0.565218
2011,5,Southwest,729,0.001563,0.006146,0.464286
2011,5,Southwest,730,0.000962,0.003782,0.153847
2011,5,Southwest,732,0.004200,0.016512,0.450000
2011,5,Southwest,738,0.001868,0.007344,0.410257
2011,5,Southwest,749,0.005614,0.022074,0.600000
2011,5,Southwest,753,0.014036,0.055184,0.454545
2011,5,Southwest,754,0.046324,0.182131,0.716814
2011,5,Southwest,755,0.005147,0.020237,0.391304
2011,5,Southwest,756,0.012582,0.049468,0.647059
2011,5,Southwest,758,0.045181,0.177634,0.403061
2011,5,Southwest,760,0.029891,0.117519,0.542289
2011,5,Southwest,761,0.004936,0.019407,0.352941
2011,5,Southwest,762,0.034552,0.135848,0.588785
2011,5,Southwest,763,0.010421,0.040970,0.593750
2011,5,Southwest,764,0.003016,0.011860,0.343750
2011,5,Southwest,765,0.010695,0.042048,0.354546
2011,5,Southwest,766,0.004936,0.019407,0.580645
2011,5,Southwest,767,0.000457,0.001797,1.000000
2011,5,Southwest,768,0.002468,0.009703,0.391304
2011,5,Southwest,770,0.008227,0.032345,0.352941
2011,6,Australia,749,0.062378,0.138792,0.380952
2011,6,Australia,750,0.054581,0.121443,0.304348
2011,6,Australia,751,0.093568,0.208187,0.428571
2011,6,Australia,752,0.046784,0.104094,0.500000
2011,6,Australia,753,0.054581,0.121443,0.466667
2011,6,Australia,762,0.001523,0.003390,0.500000
2011,6,Australia,767,0.001523,0.003390,1.000000
2011,6,Australia,768,0.001523,0.003390,0.500000
2011,6,Australia,771,0.014818,0.032969,0.500000
2011,6,Australia,772,0.014818,0.032969,1.000000
2011,6,Australia,773,0.029635,0.065938,0.666667
2011,6,Australia,774,0.022226,0.049454,1.000000
2011,6,Australia,775,0.007354,0.016363,0.333333
2011,6,Australia,776,0.007354,0.016363,1.000000
2011,6,Australia,777,0.029417,0.065453,0.666667
2011,6,Australia,778,0.007354,0.016363,0.333333
2011,6,Canada,749,0.007797,0.194607,0.047619
2011,6,Canada,750,0.007797,0.194607,0.043478
2011,6,Canada,751,0.007797,0.194607,0.035714
2011,6,Canada,753,0.007797,0.194607,0.066667
2011,6,Canada,761,0.001523,0.038021,1.000000
2011,6,Canada,775,0.007354,0.183551,0.333333
2011,6,France,750,0.031189,0.389214,0.173913
2011,6,France,751,0.023392,0.291910,0.107143
2011,6,France,752,0.007797,0.097303,0.083333
2011,6,France,762,0.001523,0.019011,0.500000
2011,6,France,770,0.001523,0.019011,0.500000
2011,6,France,775,0.007354,0.091776,0.333333
2011,6,France,777,0.007354,0.091776,0.166667
2011,6,Germany,749,0.007797,0.100501,0.047619
2011,6,Germany,750,0.038987,0.502504,0.217391
2011,6,Germany,752,0.007797,0.100501,0.083333
2011,6,Germany,753,0.015595,0.201001,0.133333
2011,6,Germany,771,0.007409,0.095493,0.250000
2011,6,Northwest,749,0.015595,0.129679,0.095238
2011,6,Northwest,750,0.015595,0.129679,0.086957
2011,6,Northwest,751,0.038987,0.324198,0.178571
2011,6,Northwest,752,0.007797,0.064840,0.083333
2011,6,Northwest,753,0.015595,0.129679,0.133333
2011,6,Northwest,763,0.001523,0.012668,1.000000
2011,6,Northwest,765,0.001523,0.012668,0.333333
2011,6,Northwest,768,0.001523,0.012668,0.500000
2011,6,Northwest,771,0.007409,0.061609,0.250000
2011,6,Northwest,777,0.007354,0.061156,0.166667
2011,6,Northwest,778,0.007354,0.061156,0.333333
2011,6,Southwest,749,0.038987,0.258519,0.238095
2011,6,Southwest,750,0.015595,0.103408,0.086957
2011,6,Southwest,751,0.046784,0.310223,0.214286
2011,6,Southwest,752,0.023392,0.155112,0.250000
2011,6,Southwest,753,0.015595,0.103408,0.133333
2011,6,Southwest,764,0.001523,0.010102,0.500000
2011,6,Southwest,765,0.001523,0.010102,0.333333
2011,6,Southwest,773,0.007409,0.049128,0.166667
2011,6,"United Kingdom",749,0.031189,0.381698,0.190476
2011,6,"United Kingdom",750,0.015595,0.190849,0.086957
2011,6,"United Kingdom",751,0.007797,0.095425,0.035714
2011,6,"United Kingdom",753,0.007797,0.095425,0.066667
2011,6,"United Kingdom",764,0.001523,0.018643,0.500000
2011,6,"United Kingdom",765,0.001523,0.018643,0.333333
2011,6,"United Kingdom",770,0.001523,0.018643,0.500000
2011,6,"United Kingdom",773,0.007409,0.090670,0.166667
2011,6,"United Kingdom",778,0.007354,0.090003,0.333333
2011,7,Australia,749,0.005913,0.176873,0.268293
2011,7,Australia,750,0.002688,0.080397,0.333333
2011,7,Australia,751,0.004838,0.144714,0.500000
2011,7,Australia,752,0.003763,0.112555,0.333333
2011,7,Australia,753,0.006450,0.192952,0.191693
2011,7,Australia,759,0.000105,0.003141,1.000000
2011,7,Australia,760,0.000105,0.003141,0.006502
2011,7,Australia,763,0.000105,0.003141,0.009881
2011,7,Australia,767,0.000105,0.003141,0.500000
2011,7,Australia,770,0.000210,0.006283,0.008283
2011,7,Australia,771,0.001021,0.030556,0.010627
2011,7,Australia,772,0.000511,0.015278,0.004883
2011,7,Australia,773,0.000511,0.015278,0.005481
2011,7,Australia,774,0.001021,0.030556,0.023256
2011,7,Australia,775,0.001521,0.045498,0.012752
2011,7,Australia,776,0.001014,0.030332,0.010537
2011,7,Australia,777,0.001014,0.030332,0.011962
2011,7,Australia,778,0.002535,0.075829,0.042230
2011,7,Canada,707,0.000136,0.000769,0.224999
2011,7,Canada,708,0.000276,0.001556,0.421295
2011,7,Canada,709,0.000031,0.000174,0.025750
2011,7,Canada,710,0.000003,0.000019,0.088889
2011,7,Canada,711,0.000224,0.001265,0.333333
2011,7,Canada,712,0.000200,0.001125,0.421147
2011,7,Canada,714,0.000217,0.001221,0.467287
2011,7,Canada,715,0.000592,0.003337,0.212938
2011,7,Canada,716,0.000048,0.000269,0.067900
2011,7,Canada,722,0.001368,0.007714,0.728572
2011,7,Canada,725,0.001022,0.005764,0.486842
2011,7,Canada,726,0.000387,0.002181,0.285714
2011,7,Canada,729,0.000967,0.005453,0.299145
2011,7,Canada,730,0.000387,0.002181,0.451613
2011,7,Canada,732,0.001233,0.006952,0.280488
2011,7,Canada,733,0.000054,0.000302,0.062500
2011,7,Canada,738,0.000671,0.003781,0.308642
2011,7,Canada,742,0.000977,0.005508,0.243243
2011,7,Canada,745,0.001095,0.006172,0.200000
2011,7,Canada,747,0.000107,0.000605,0.038461
2011,7,Canada,748,0.000109,0.000612,0.015151
